Technology,KPI_Name,Column_Name,Source_Sheet,Aggregation,Threshold,Operator,Weight,Dimension,Severity,Definition,Effect
GSM,TBF Establishment Success Rate (DL),Downlink TBF Establishment Success Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,95,>=,1,Accessibility,Critical,Measures the success rate of establishing a Downlink TBF for packet data transfer,Low rate indicates poor radio environment or insufficient resources
GSM,SDCCH Congestion Rate,SDCCH Congestion Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,0.5,<=,1,Resource Utilization,Critical,Probability of failure to access SDCCH during call setup,"High congestion prevents call setup, SMS delivery, and location updates"
GSM,TCH Congestion Rate,TCH Congestion Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,1.5,<=,1,Resource Utilization,Critical,Probability of failure to access TCH during call setup,"High congestion means no voice channels available, users hear busy tones"
GSM,TCH Call Drop Rate,TCH Drop Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,1,<=,2,Retainability,Critical,Percentage of calls prematurely terminated before normal release on Traffic Channels,"High drop rate indicates poor coverage, interference, or equipment issues"
GSM,SDCCH Call Drop Rate,SDCCH Drop Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,1,<=,1,Retainability,Critical,Percentage of signaling connections dropped on SDCCH before call setup completes,High rate means signaling failures during call initiation
GSM,Call Setup Success Rate,Call Setup Success Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,98,>=,2,Accessibility,Critical,Ratio of successful call establishments to total call attempts,"Low rate means high call setup failures, users cannot connect calls"
GSM,Handover Success Rate,Handover Success Rate(%),2G_Cell_CSBH|2G_NWBH|2G_NW_Daily,Both,97,>=,1,Mobility,Critical,Measures ability to successfully transfer an ongoing call from one cell to another,Low rate causes dropped calls during mobility
UMTS,RRC Setup Success Rate,RRC Setup Success Ratio_EFD,3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,98.7,>=,2,Accessibility,Critical,Ratio of successful RRC connection establishments to attempts,"Low rate means UEs cannot establish radio connection, users cannot access any service"
UMTS,RAB Setup Success Rate - AMR,AMR RAB Setup Success Rate(%),3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,98.5,>=,1,Accessibility,Critical,Ratio of successful AMR (voice) RAB establishments to attempts,Low rate means voice service accessibility is degraded
UMTS,RAB Setup Success Rate - PS,PS RAB Setup Success Ratio_EFD,3G_NWBH|3G_NW_Daily,Whole Network,97.5,>=,1,Accessibility,Critical,Ratio of successful PS (data) RAB establishments to attempts,Low rate means data service accessibility is degraded
UMTS,Call Setup Success Rate,Call Setup Success Rate(%)_EFD,3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,98,>=,2,Accessibility,Critical,Combines RRC and RAB success to measure overall call establishment performance,Low rate reflects poor network accessibility
UMTS,RAB Drop Rate - AMR (CS),CS Call Drop Rate(%),3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,1,<=,2,Retainability,Critical,Ratio of abnormal AMR RAB releases to successful RAB establishments,"High drop rate means voice calls are frequently dropped, user dissatisfaction"
UMTS,RAB Drop Rate - PS,PS Drop Ratio(EFD),3G_NWBH|3G_NW_Daily,Whole Network,3,<=,1,Retainability,Critical,Ratio of abnormal PS RAB releases to successful PS RAB establishments,High drop rate means data sessions are frequently interrupted
UMTS,Inter-RAT HO Success Rate - CS,Inter-RAT Handover Success Rate CS(%),3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,96,>=,1,Mobility,Critical,Success rate of handover from UMTS to GSM for voice calls,Low rate causes voice calls to drop when users move out of UMTS coverage
UMTS,Inter-RAT HO Success Rate - PS,Inter-RAT Handover Success Rate PS(%),3G_NWBH|3G_NW_Daily,Whole Network,80,>=,1,Mobility,Critical,Success rate of handover from UMTS to GSM for data sessions,Low rate causes data session drops during inter-RAT mobility
UMTS,Soft Handover Success Rate,Soft Handover Success Rate(%),3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,99,>=,1,Mobility,Critical,Success rate of make-before-break handover where UE maintains multiple simultaneous links,Low rate increases call drop risk during mobility
